Resource,Scientific cluster or domain,Topic,Software quality dimensions,Resource type,Notes,Title,URL,Description,Keywords,Scientific Topics,Resource type(s),Licence,Status,DOI,Version,Authors,Contributors,Target audiences,Prerequisites,Competency level,Learning objectives,Date created,Date modified,Date published,Nodes,External resources
Foundational HPC Skills (DIRAC),General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Performance efficiency, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Foundational HPC Skills (DIRAC),https://dirac.ac.uk/foundation-hpc-skills-course/,"A basic introduction to the principles of HPC and the tools needed to work on an HPC system. The training will help you to develop the skills required to meet your research needs and enable you to utilise DiRAC’s HPC systems effectively. The course focuses on core skills, from basic connection to a system, to laying the foundation for developing robust, high-quality code. We assume familiarity with desktop computers, but no prior programming, Linux or HPC experience is required. ","version control, git, testing, documentation, HPC",,,,,,,,,,,,,,,,,
CodeRefinery - training and e-Infrastructure for research software development,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,CodeRefinery - training and e-Infrastructure for research software development,https://coderefinery.org/,,,,,,,,,,,,,,,,,,,
Software Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Software Carpentry,https://software-carpentry.org/,,,,,,,,,,,,,,,,,,,
Data Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Data Carpentry,https://datacarpentry.org/,,,,,,,,,,,,,,,,,,,
Library Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,Library Carpentry,https://librarycarpentry.org/,,,,,,,,,,,,,,,,,,,
HPC Carpentry,General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability, Performance efficiency","curriculum (set of several training courses, a learning pathway) ",,HPC Carpentry,https://hpc-carpentry.org/,,,,,,,,,,,,,,,,,,,
"Intersect Research Software
Engineering Training",General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,"Intersect Research Software
Engineering Training",https://intersect-training.org/curriculum/,,,,,,,,,,,,,,,,,,,
"The Missing
Semester of Your CS Education",General,,"Compatibility, FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",,"The Missing
Semester of Your CS Education",https://missing.csail.mit.edu/,,,,,,,,,,,,,,,,,,,
Turing Way Handbook: Guide for Reproducible Research,General,,"FAIRness, Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","curriculum (set of several training courses, a learning pathway) ",duplicated with #19!!!,Turing Way Handbook: Guide for Reproducible Research,https://the-turing-way.netlify.app/reproducible-research/reproducible-research,duplicated with #19!!!,,,,,,,,,,,,,,,,,,
Green Software Practitioner,General,,Sustainability,"individual training resource (course, handbook, article, guide, tutorial)",,Green Software Practitioner,https://learn.greensoftware.foundation/introduction,"Introduction to green software, a carbon-efficient software, meaning it emits the least carbon possible. Only three activities reduce the carbon emissions of software; energy efficiency, carbon awareness, and hardware efficiency. This training will explain all of these concepts, how to apply them to your processes and how to measure them, as well as some of the international guidelines and organizations that guide and monitor this space.",,"sustainability, environment",,,,,,,,,,,,,,,,
